Table Name,Field Name,Field Type,Field Description
GCPIDS,RequestMetadataCallerIP,string,IP address of the caller who initiated the request.
GCPIDS,RequestMetadataDestinationAttributes,string,Metadata attributes about the destination service or resource.
GCPIDS,RequestMetadataRequestAttributesAuth,string,"Authentication-related request attributes, such as tokens or auth levels."
GCPIDS,RequestMetadataRequestAttributesReason,string,"Reason for the request, such as a policy action or user-initiated change."
GCPIDS,RequestMetadataRequestAttributesTime,datetime,Timestamp of when the request attributes were recorded.
GCPIDS,RequestName,string,Name or identifier of the resource being accessed or modified in the request.
GCPIDS,RequestParent,string,"Parent resource of the request, indicating hierarchy or context."
GCPIDS,RequestType,string,Type of request.
GCPIDS,RequestUpdateMaskPaths,string,The paths to be updated in the request.
GCPIDS,ResourceLabelsId,string,Unique identifier for the resource involved in the log entry.
GCPIDS,ResourceLabelsLocation,string,Geographic or regional location of the resource.
GCPIDS,ResourceLabelsMethod,string,"The method or operation performed on the resource, often linked to an API call or service method."
GCPIDS,ResourceLabelsProjectId,string,"Project ID associated with the resource, typically representing the Google Cloud project."
GCPIDS,ResourceLabelsResourceContainer,string,"Name of the container or logical grouping the resource belongs to (e.g., folder, organization)."
GCPIDS,ResourceLabelsService,string,Service label indicating which cloud service.
GCPIDS,ResourceLocationCurrentLocations,string,Current physical or logical location(s) of the resource at the time of the log entry.
GCPIDS,ResponseName,string,Name or ID of the resource returned in the response.
GCPIDS,ResponseNetwork,string,Network path or identifier associated with the response.
GCPIDS,ResponseSeverity,string,"Severity level of the response, especially in the context of errors or alerts."
GCPIDS,ResponseState,string,State or result of the response action taken for the detected threat.
GCPIDS,ResponseThreatExceptions,string,"List of any threat exceptions applied during the response, allowing specific threats to bypass enforcement."
GCPIDS,ResponseTrafficLogs,bool,Indicates whether traffic logs were captured for the session or threat response.
GCPIDS,ResponseType,string,Type or format of the response returned from the operation.
GCPIDS,ServiceName,string,Name of the cloud service associated with the log entry or threat detection.
GCPIDS,SessionId,string,An internal numerical identifier applied to each session.
GCPIDS,Severity,string,Indicates the severity level of the log entry or event.
GCPIDS,SourceIPAddress,string,Suspected traffic's source IP address.
GCPIDS,SourcePort,string,The source port of the traffic.
GCPIDS,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
GCPIDS,StartTime,datetime,The time of the session start.
GCPIDS,Status,string,"Status of the operation or request, such as SUCCESS, FAILURE, or ERROR."
GCPIDS,TenantId,string,The Log Analytics workspace ID
GCPIDS,ThreatId,string,Unique threat identifier.
GCPIDS,TimeGenerated,datetime,The timestamp when the log entry was generated and ingested by the logging system.
GCPIDS,Timestamp,datetime,The original timestamp of the event as recorded by the source system.
GCPIDS,TotalBytes,string,The total number of bytes transferred in the session.
GCPIDS,TotalPackets,string,The total number of packets transferred in the session.
GCPIDS,Type,string,The name of the table
GCPIDS,URIOrFilename,string,"URI or filename of the relevant threat, if applicable."
GCPLoadBalancerLogs_CL,,,No columns found or plain table (no linked schema page)
GCPMonitoring,_BilledSize,real,The record size in bytes
GCPMonitoring,GCPResource,dynamic,"The monitored resource associated with the metric (e.g., VM instance, GKE cluster), includes resource type and labels"
GCPMonitoring,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
GCPMonitoring,MetricKind,string,"The type of metric: GAUGE (instant value), DELTA (change over time), or CUMULATIVE (accumulated value)"
GCPMonitoring,MetricLabels,dynamic,"Key-value pairs that identify the characteristics of the metric (e.g., instance ID, region, etc.)"
GCPMonitoring,MetricType,string,"The full path of the metric type being monitored (e.g., 'compute.googleapis.com/instance/cpu/utilization')"
GCPMonitoring,Points,dynamic,A list of time series data points that contain values and timestamps for the metric
GCPMonitoring,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
GCPMonitoring,TenantId,string,The Log Analytics workspace ID
GCPMonitoring,TimeGenerated,datetime,"The timestamp when the metric or log entry was generated at the source, representing the actual occurrence time of the data point."
GCPMonitoring,Type,string,The name of the table
GCPMonitoring,ValueType,string,"The type of value recorded: INT64, DOUBLE, BOOL, STRING, or DISTRIBUTION"
GCPNAT,AllocationStatus,string,Status of the NAT IP address allocation.
GCPNAT,ASN,string,Autonomous System Number (ASN) associated with the destination IP.
GCPNAT,_BilledSize,real,The record size in bytes
GCPNAT,City,string,City of the destination IP address (geo-located).
GCPNAT,Continent,string,Continent where the destination IP is located.
GCPNAT,Country,string,Country of the destination IP address (geo-located).
GCPNAT,DestinationRegion,string,Continent or larger geographical region of the destination.
GCPNAT,DestIp,string,Destination external IP address the traffic was sent to.
GCPNAT,DestPort,string,Destination port on the remote host.
GCPNAT,EndpointRegion,string,Region of the destination endpoint.
GCPNAT,EndpointZone,string,Zone of the destination endpoint if applicable.
GCPNAT,GatewayName,string,Name of the Cloud NAT gateway instance.
GCPNAT,GCPResourceType,string,"Type of the monitored GCP resource (e.g., 'router', 'gce_instance')."
GCPNAT,InsertId,string,Unique identifier for the log entry within the GCP logging system.
GCPNAT,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
GCPNAT,LogName,string,Name of the log stream.
GCPNAT,NatIp,string,Public NAT IP address assigned for this flow.
GCPNAT,NatPort,string,Public NAT port assigned for this flow.
GCPNAT,ProjectId,string,ID of the GCP project that generated the log entry.
GCPNAT,Protocol,string,Network protocol used in the connection.
GCPNAT,ReceiveTimestamp,datetime,The time the log entry was received by GCP Logging.
GCPNAT,Region,string,Region of the GCP resource involved in the NAT traffic.
GCPNAT,RouterId,string,Identifier of the Cloud Router managing the NAT gateway.
GCPNAT,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
GCPNAT,SrcIp,string,Source internal IP address from which the traffic originated.
GCPNAT,SrcPort,string,Source port on the internal VM or resource.
GCPNAT,TenantId,string,The Log Analytics workspace ID
GCPNAT,TimeGenerated,datetime,The timestamp when the log was ingested by Log Analytics.
GCPNAT,Type,string,The name of the table
GCPNAT,VmName,string,Name of the virtual machine that initiated the NAT traffic.
GCPNATAudit,AuthorizationInfo,string,Details about the authorization.
GCPNATAudit,_BilledSize,real,The record size in bytes
GCPNATAudit,CallerIp,string,IP address of the caller.
GCPNATAudit,EncryptedInterconnectRouter,bool,Whether the router uses encrypted interconnect.
GCPNATAudit,GCPResourceName,string,Name of the resource affected.
GCPNATAudit,GCPResourceType,string,Type of the GCP resource.
GCPNATAudit,InsertId,string,A unique ID for the log entry.
GCPNATAudit,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
GCPNATAudit,LogName,string,The name of the log stream.
GCPNATAudit,MethodName,string,API method invoked.
GCPNATAudit,OperationFirst,bool,Indicates if this is the first operation in the series.
GCPNATAudit,OperationId,string,Identifier of the operation.
GCPNATAudit,OperationLast,bool,Indicates if this is the last operation in the series.
GCPNATAudit,OperationProducer,string,Producer of the operation.
GCPNATAudit,PayloadRequestNats,string,NATs request payload.
GCPNATAudit,PayloadType,string,Type of payload in the log.
GCPNATAudit,PrincipalEmail,string,Email of the principal initiating the request.
GCPNATAudit,PrincipalSubject,string,Subject or identity of the principal.
GCPNATAudit,ProjectId,string,GCP Project ID where the event occurred.
GCPNATAudit,ReceiveTimestamp,datetime,Time when the log was received.
GCPNATAudit,RequestAttributeAuth,string,Authorization details of the request.
GCPNATAudit,RequestAttributeDestination,string,Destination details of the request.
GCPNATAudit,RequestAttributeTime,datetime,Timestamp of the request attribute.
GCPNATAudit,RequestId,string,Unique ID of the request.
GCPNATAudit,RequestName,string,Name of the request.
GCPNATAudit,RequestNetwork,string,Network where the request was made.
GCPNATAudit,RequestRegion,string,Region where the request originated.
GCPNATAudit,RequestSelfLink,string,SelfLink URL of the request resource.
GCPNATAudit,RequestType,string,Type of the request.
GCPNATAudit,ResourceLocation,string,Geographic location of the resource.
GCPNATAudit,ResourceRegion,string,Region of the GCP resource.
GCPNATAudit,ResponseErrorCode,string,Error code if any error occurred.
GCPNATAudit,ResponseErrorMessage,string,"Error message returned, if any."
GCPNATAudit,ResponseErrors,string,Details of any errors returned.
GCPNATAudit,ResponseId,string,Identifier of the response.
GCPNATAudit,ResponseInsertTime,datetime,Insert time of the response.
GCPNATAudit,ResponseName,string,Name of the response.
GCPNATAudit,ResponseOperationType,string,Type of operation performed.
GCPNATAudit,ResponseProgress,string,Progress status of the response.
GCPNATAudit,ResponseRegion,string,Region associated with the response.
GCPNATAudit,ResponseSelfLink,string,SelfLink URL of the response.
GCPNATAudit,ResponseSelfLinkWithId,string,SelfLink URL with ID in the response.
GCPNATAudit,ResponseStartTime,datetime,Start time of the response.
GCPNATAudit,ResponseStatus,string,Status of the response.
GCPNATAudit,ResponseTargetId,string,Target ID in the response.
GCPNATAudit,ResponseTargetLink,string,Target link in the response.
GCPNATAudit,ResponseType,string,Type of the response returned.
GCPNATAudit,ResponseUser,string,User returned in the response.
GCPNATAudit,RootTriggerId,string,Root trigger ID of the operation.
GCPNATAudit,RouterId,string,Identifier of the Cloud Router.
GCPNATAudit,ServiceName,string,Name of the GCP service.
GCPNATAudit,Severity,string,Severity level of the event.
GCPNATAudit,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
GCPNATAudit,TenantId,string,The Log Analytics workspace ID
GCPNATAudit,TimeGenerated,datetime,The time at which the log was generated.
GCPNATAudit,Type,string,The name of the table
GCPNATAudit,UserAgent,string,User agent string of the caller.
GCPResourceManager,AuthenticationInfoPrincipalEmail,string,The email address of the authenticated principal making the request.
GCPResourceManager,AuthenticationInfoPrincipalSubject,string,The unique subject identifier for the principal (useful for federated identities).
GCPResourceManager,AuthenticationInfoServiceAccountKeyName,string,The resource name of the service account key used to authenticate the request.
GCPResourceManager,AuthorizationInfo,string,"Details on the authorization checks performed, including the permissions evaluated."
GCPResourceManager,_BilledSize,real,The record size in bytes
GCPResourceManager,GCPResourceName,string,The name of the resource that the operation is acting on.
GCPResourceManager,GCPResourceType,string,"The type of resource involved in the operation (e.g., project, folder, organization)."
GCPResourceManager,InsertID,string,A unique ID for the log entry used for deduplication.
GCPResourceManager,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
GCPResourceManager,LogName,string,"The full resource name of the log (e.g., projects/[PROJECT_ID]/logs/[LOG_ID])."
GCPResourceManager,MetadataParentDeltaDestinationParentId,string,"The destination parent ID when a resource moves between parents (e.g., folder or org)."
GCPResourceManager,MetadataParentDeltaDestinationParentType,string,"The type of destination parent (e.g., folder, organization)."
GCPResourceManager,MetadataParentDeltaSourceParentId,string,The original parent ID of the resource before the move.
GCPResourceManager,MetadataParentDeltaSourceParentType,string,"The type of source parent (e.g., folder, organization)."
GCPResourceManager,MetadataType,string,The type of metadata associated with the log entry.
GCPResourceManager,MethodName,string,"The API method that was called (e.g., google.cloud.resourcemanager.v3.Projects.CreateProject)."
GCPResourceManager,NumResponseItems,string,"The number of items returned in the response, if applicable."
GCPResourceManager,OperationFirst,bool,Indicates whether this is the first log entry for a long-running operation.
GCPResourceManager,OperationID,string,An identifier for a long-running operation shared across related log entries.
GCPResourceManager,OperationLast,bool,Indicates whether this is the last log entry for a long-running operation.
GCPResourceManager,OperationProducer,string,"The name of the producer of the operation (e.g., the GCP service executing the operation)."
GCPResourceManager,PayloadType,string,"The type of the log payload (e.g., protoPayload, textPayload)."
GCPResourceManager,ReceiveTimestamp,datetime,The time the log entry was received by Cloud Logging.
GCPResourceManager,RequestConstraint,string,The Org Policy constraint specified in the request.
GCPResourceManager,RequestCreateTime,datetime,The timestamp when the resource was created as specified in the request.
GCPResourceManager,RequestCustomConstraint,string,Custom constraint configuration specified in the request.
GCPResourceManager,RequestDestinationParent,string,"The resource name of the destination parent, used in resource moves."
GCPResourceManager,RequestFolderDisplayName,string,The display name of the folder provided in the request.
GCPResourceManager,RequestFolderParent,string,The parent resource of the folder specified in the request.
GCPResourceManager,RequestLifecycleState,string,"The lifecycle state of the resource in the request (e.g., ACTIVE, DELETE_REQUESTED)."
GCPResourceManager,RequestListValue,string,"A list of values specified in the request (e.g., tags, constraints)."
GCPResourceManager,RequestMetadataCallerIP,string,The IP address of the caller who made the request.
GCPResourceManager,RequestMetadataCallerSuppliedUserAgent,string,The user agent String provided by the caller's client application.
GCPResourceManager,RequestMetadataDestinationAttributes,string,"Metadata about the request destination, such as port or protocol."
GCPResourceManager,RequestMetadataRequestAttributesAuth,string,"Authentication attributes related to the request, such as authority selector or principal email."
GCPResourceManager,RequestMetadataRequestAttributesReason,string,The reason or justification for making the request (if provided).
GCPResourceManager,RequestMetadataRequestAttributesTime,datetime,The timestamp when the request was made.
GCPResourceManager,RequestName,string,The name or ID of the resource targeted by the request.
GCPResourceManager,RequestOptionsRequestedPolicyVersion,string,The version of the IAM policy format requested.
GCPResourceManager,RequestPageSize,string,The number of results to return per page in a list request.
GCPResourceManager,RequestParent,string,"The parent resource (e.g., folder or org) under which the request is being made."
GCPResourceManager,RequestPolicyAuditConfigs,string,The audit configuration settings defined in the policy request.
GCPResourceManager,RequestPolicyBindings,string,A list of role bindings defined in the IAM policy request.
GCPResourceManager,RequestPolicyEtag,string,The ETag used for concurrency control in the policy request.
GCPResourceManager,RequestPolicyName,string,The resource name of the policy being modified in the request.
GCPResourceManager,RequestPolicySpec,string,Detailed specification of the Org Policy being applied.
GCPResourceManager,RequestProjectCreateTime,datetime,The time the project was created as per the request.
GCPResourceManager,RequestProjectId,string,The project ID associated with the request.
GCPResourceManager,RequestProjectLabels,string,Key-value labels assigned to the project in the request.
GCPResourceManager,RequestProjectLifecycleState,string,"The lifecycle state of the project (e.g., ACTIVE, DELETE_REQUESTED)."
GCPResourceManager,RequestProjectName,string,The display name of the project specified in the request.
GCPResourceManager,RequestProjectParent,string,The parent resource (folder or organization) under which the project is created.
GCPResourceManager,RequestProjectProjectId,string,The unique project ID provided in the request.
GCPResourceManager,RequestProjectProjectNumber,string,The numerical project identifier.
GCPResourceManager,RequestQuery,string,"A query String used for filtering results (e.g., in search or list operations)."
GCPResourceManager,RequestResource,string,The full representation of the resource included in the request.
GCPResourceManager,RequestTagBindingParent,string,The full name of the resource to which the tag is being bound.
GCPResourceManager,RequestTagBindingTagValue,string,The tag value being bound to a resource in the request.
GCPResourceManager,RequestTagKeyName,string,The full resource name of the tag key referenced in the request.
GCPResourceManager,RequestTagValueName,string,The full resource name of the tag value in the request.
GCPResourceManager,RequestType,string,"The type of request being made (e.g., Create, Update, Delete)."
GCPResourceManager,RequestUpdateMask,string,A comma-separated list specifying the fields to be updated in a partial update request.
GCPResourceManager,ResourceLabelsFolderId,string,The folder ID associated with the resource.
GCPResourceManager,ResourceLabelsMethod,string,The method name label used for filtering in logs.
GCPResourceManager,ResourceLabelsOrganizationId,string,The organization ID associated with the resource.
GCPResourceManager,ResourceLabelsProjectId,string,The project ID associated with the resource.
GCPResourceManager,ResourceLabelsService,string,The service name label used for filtering in logs.
GCPResourceManager,ResponseAuditConfigs,string,The audit configurations returned in the response.
GCPResourceManager,ResponseBindings,string,The IAM role bindings included in the response.
GCPResourceManager,ResponseCreateTime,datetime,"The timestamp when the resource was created, as returned in the response."
GCPResourceManager,ResponseDescription,string,A description of the resource or result returned in the response.
GCPResourceManager,ResponseDisplayName,string,The display name of the resource returned in the response.
GCPResourceManager,ResponseEtag,string,The ETag used for concurrency control in the response.
GCPResourceManager,ResponseLabels,string,The key-value labels attached to the resource in the response.
GCPResourceManager,ResponseLifecycleState,string,"The lifecycle state of the resource in the response (e.g., ACTIVE, DELETE_REQUESTED)."
GCPResourceManager,ResponseName,string,The full resource name returned in the response.
GCPResourceManager,ResponseNamespacedName,string,A namespaced identifier for the resource (used in tagging).
GCPResourceManager,ResponseParent,string,The parent resource name associated with the response.
GCPResourceManager,ResponsePolicySpec,string,The policy specification returned in the response (Org Policy or IAM policy).
GCPResourceManager,ResponseProjectId,string,The project ID returned in the response.
GCPResourceManager,ResponseProjectNumber,string,The project ID returned in the response.
GCPResourceManager,ResponseShortName,string,"The short, user-defined name of the resource returned in the response."
GCPResourceManager,ResponseState,string,"The current state of the resource (e.g., ACTIVE, DELETED)."
GCPResourceManager,ResponseTagKey,string,The tag key associated with the resource returned in the response.
GCPResourceManager,ResponseTagValue,string,The tag value associated with the resource in the response.
GCPResourceManager,ResponseTagValueNamespacedName,string,A fully qualified name (including tag key) for the tag value.
GCPResourceManager,ResponseType,string,The type of the response payload.
GCPResourceManager,ResponseUpdateTime,datetime,"The time when the resource was last updated, as per the response."
GCPResourceManager,ServiceDataPolicyDeltaBindingDeltas,string,Changes (additions or removals) to IAM bindings as part of the policy delta.
GCPResourceManager,ServiceDataType,string,The type of service-specific data returned in the response.
GCPResourceManager,ServiceName,string,"The name of the GCP service handling the request (e.g., cloudresourcemanager.googleapis.com)."
GCPResourceManager,Severity,string,"Log level indicating the severity of the event (e.g., INFO, ERROR)."
GCPResourceManager,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
GCPResourceManager,Status,string,"The status of the request, including error codes and messages if the operation failed."
GCPResourceManager,TenantId,string,The Log Analytics workspace ID
GCPResourceManager,TimeGenerated,datetime,The time the log entry was received by logging.
GCPResourceManager,Timestamp,datetime,The time the event described by the log entry occurred.
GCPResourceManager,Type,string,The name of the table
GCPVPCFlow,_BilledSize,real,The record size in bytes
GCPVPCFlow,BytesSent,string,Amount of bytes sent from the source to the destination.
GCPVPCFlow,DestGatewayInterconnectName,string,"If the type of the gateway is INTERCONNECT_ATTACHMENT, this field is populated with the name of the Cloud Interconnect connection on which the VLAN attachment is configured."
GCPVPCFlow,DestGatewayInterconnectProjectNumber,string,"If the type of the gateway is INTERCONNECT_ATTACHMENT, this field is populated with the Google Cloud project number of the Cloud Interconnect connection on which the VLAN attachment is configured."
GCPVPCFlow,DestGatewayLocation,string,Region of the destination gateway
GCPVPCFlow,DestGatewayName,string,Name of the destination gateway
GCPVPCFlow,DestGatewayProjectId,string,Google Cloud project ID of the destination gateway
GCPVPCFlow,DestGatewayType,string,Type of the destination gateway. Can be INTERCONNECT_ATTACHMENT or VPN_TUNNEL.
GCPVPCFlow,DestGatewayVpc,dynamic,VPC network details of the gateway
GCPVPCFlow,DestGkeClusterLocation,string,Location of the destination cluster. This can be a zone or a region depending if the cluster is zonal or regional.
GCPVPCFlow,DestGkeClusterName,string,Destination GKE cluster name.
GCPVPCFlow,DestGkePodName,string,Name of the destination Pod
GCPVPCFlow,DestGkePodNamespace,string,Namespace of the destination Pod
GCPVPCFlow,DestGkePodWorkloadName,string,Name of the top-level destination workload controller
GCPVPCFlow,DestGkePodWorkloadType,string,Type of the top-level destination workload controller.
GCPVPCFlow,DestGkeService,dynamic,Destination GKE Service name.
GCPVPCFlow,DestGoogleServiceType,string,This field is set to GOOGLE_API if the destination is a Google API service.
GCPVPCFlow,DestInstanceGroupName,string,Name of the instance group
GCPVPCFlow,DestInstanceGroupRegion,string,"If the instance group is regional, this field is populated with the region of the instance group."
GCPVPCFlow,DestInstanceGroupZone,string,"If the instance group is zonal, this field is populated with the zone of the instance group."
GCPVPCFlow,DestInstanceProjectId,string,ID of the Google Cloud project that contains the VM resource
GCPVPCFlow,DestInstanceRegion,string,Region of the VM
GCPVPCFlow,DestInstanceVmName,string,Instance name of the VM
GCPVPCFlow,DestInstanceZone,string,Zone of the VM
GCPVPCFlow,DestIp,string,Destination IP address
GCPVPCFlow,DestLocationAsn,string,The ASN of the external destination network to which this endpoint belongs.
GCPVPCFlow,DestLocationCity,string,City for external destination endpoints.
GCPVPCFlow,DestLocationContinent,string,Continent for external destination endpoints.
GCPVPCFlow,DestLocationCountry,string,Country for external destination endpoints.
GCPVPCFlow,DestLocationRegion,string,Region for external destination endpoints.
GCPVPCFlow,DestPort,string,Destination port
GCPVPCFlow,DestVpcName,string,Name of the network
GCPVPCFlow,DestVpcProjectId,string,ID of the Google Cloud project containing the VPC
GCPVPCFlow,DestVpcSubnetworkName,string,Name of the subnet
GCPVPCFlow,DestVpcSubnetworkRegion,string,Region of the subnet
GCPVPCFlow,EndTime,datetime,Timestamp of the last observed packet during the aggregated time interval.
GCPVPCFlow,GCPResourceType,string,"Type of the resource (e.g., compute instance, DNS record)."
GCPVPCFlow,InsertId,string,A unique identifier assigned to each log entry.
GCPVPCFlow,InternetRoutingDetailsEgressAsn,string,"List of relevant AS paths. If there are multiple AS paths available to the flow, the field might contain more than one AS path."
GCPVPCFlow,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
GCPVPCFlow,LbBackendGroupLocation,string,Location of the backend group
GCPVPCFlow,LbBackendGroupName,string,Name of the backend group
GCPVPCFlow,LbBackendGroupType,string,Type of the backend group
GCPVPCFlow,LbBackendServiceName,string,Name of the backend service.
GCPVPCFlow,LbForwardingRuleName,string,Name of the forwarding rule
GCPVPCFlow,LbForwardingRuleProjectId,string,Google Cloud project ID of the forwarding rule
GCPVPCFlow,LbReporter,string,Cloud Load Balancing reporter. Can be either CLIENT or BACKEND
GCPVPCFlow,LbScheme,string,Load balancer scheme
GCPVPCFlow,LbType,string,Load balancer type.
GCPVPCFlow,LbUrlMapName,string,Name of the URL map. Populated if the type of the load balancer is APPLICATION_LOAD_BALANCER.
GCPVPCFlow,LbVpc,dynamic,VPC network details of the load balancer
GCPVPCFlow,Location,string,Location of the resource.
GCPVPCFlow,LogName,string,The name of the log where this entry is stored.
GCPVPCFlow,NetworkServiceDscp,string,"If the Differentiated Services field is present in packet headers, this field is populated with the DSCP value."
GCPVPCFlow,PacketsSent,string,Number of packets sent from the source to the destination.
GCPVPCFlow,ProjectId,string,ProjectId of the resource.
GCPVPCFlow,Protocol,string,The IANA protocol number
GCPVPCFlow,PscAttachmentProjectId,string,Google Cloud project ID of the service attachment
GCPVPCFlow,PscAttachmentRegion,string,Region of the service attachment
GCPVPCFlow,PscAttachmentVpc,dynamic,VPC network details of the service attachment
GCPVPCFlow,PscEndpointConnectionId,string,Private Service Connect connection ID
GCPVPCFlow,PscEndpointProjectId,string,Google Cloud project ID of the Private Service Connect endpoint
GCPVPCFlow,PscEndpointRegion,string,Region of the endpoint. Not populated if the target service type is GLOBAL_GOOGLE_APIS.
GCPVPCFlow,PscEndpointTargetServiceType,string,Target service type. Can be either GLOBAL_GOOGLE_APIS or PUBLISHED_SERVICE.
GCPVPCFlow,PscEndpointVpc,dynamic,VPC network details of the Private Service Connect endpoint
GCPVPCFlow,ReceiveTimestamp,datetime,Timestamp of the event when it was received by the logging service.
GCPVPCFlow,Reporter,string,The side which reported the flow.
GCPVPCFlow,Rttmsec,string,The measured latency is the time elapsed between sending a SEQ and receiving a corresponding ACK.
GCPVPCFlow,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
GCPVPCFlow,SrcGatewayInterconnectName,string,"If the type of the gateway is INTERCONNECT_ATTACHMENT, this field is populated with the name of the Cloud Interconnect connection on which the VLAN attachment is configured."
GCPVPCFlow,SrcGatewayInterconnectProjectNumber,string,"If the type of the gateway is INTERCONNECT_ATTACHMENT, this field is populated with the Google Cloud project number of the Cloud Interconnect connection on which the VLAN attachment is configured."
GCPVPCFlow,SrcGatewayLocation,string,Region of the gateway
GCPVPCFlow,SrcGatewayName,string,Name of the gateway
GCPVPCFlow,SrcGatewayProjectId,string,Google Cloud project ID of the gateway
GCPVPCFlow,SrcGatewayType,string,Type of the gateway. Can be INTERCONNECT_ATTACHMENT or VPN_TUNNEL.
GCPVPCFlow,SrcGatewayVpc,dynamic,VPC network details of the gateway
GCPVPCFlow,SrcGkeClusterLocation,string,Location of the source cluster. This can be a zone or a region depending if the cluster is zonal or regional.
GCPVPCFlow,SrcGkeClusterName,string,Source GKE cluster name.
GCPVPCFlow,SrcGkePodName,string,Name of the source Pod
GCPVPCFlow,SrcGkePodNamespace,string,Namespace of the source Pod
GCPVPCFlow,SrcGkePodWorkloadName,string,Name of the top-level source workload controller
GCPVPCFlow,SrcGkePodWorkloadType,string,Type of the top-level source workload controller.
GCPVPCFlow,SrcGkeService,dynamic,Source GKE Service name.
GCPVPCFlow,SrcGoogleServiceType,string,This field is set to GOOGLE_API if the source is a Google API service.
GCPVPCFlow,SrcInstanceGroupName,string,Name of the source instance group
GCPVPCFlow,SrcInstanceGroupRegion,string,"If the source instance group is regional, this field is populated with the region of the source instance group."
GCPVPCFlow,SrcInstanceGroupZone,string,"If the source instance group is zonal, this field is populated with the zone of the source instance group."
GCPVPCFlow,SrcInstanceProjectId,string,ID of the Google Cloud project that contains the source VM resource
GCPVPCFlow,SrcInstanceRegion,string,Region of the source VM
GCPVPCFlow,SrcInstanceVmName,string,Instance name of the source VM
GCPVPCFlow,SrcInstanceZone,string,Zone of the source VM
GCPVPCFlow,SrcIp,string,Source IP address
GCPVPCFlow,SrcLocationAsn,string,The ASN of the external source network to which this endpoint belongs.
GCPVPCFlow,SrcLocationCity,string,City for external source endpoints.
GCPVPCFlow,SrcLocationContinent,string,Continent for external source endpoints.
GCPVPCFlow,SrcLocationCountry,string,Country for external source endpoints.
GCPVPCFlow,SrcLocationRegion,string,Region for external source endpoints.
GCPVPCFlow,SrcPort,string,Source port
GCPVPCFlow,SrcVpcName,string,Name of the source network
GCPVPCFlow,SrcVpcProjectId,string,ID of the Google Cloud project containing the VPC
GCPVPCFlow,SrcVpcSubnetworkName,string,"Name of the source subnet,"
GCPVPCFlow,SrcVpcSubnetworkRegion,string,Name of the source region
GCPVPCFlow,StartTime,datetime,Timestamp of the first observed packet during the aggregated time interval.
GCPVPCFlow,SubnetworkId,string,ID of the Google Cloud project containing the VPC
GCPVPCFlow,SubnetworkName,string,Name of the subnet
GCPVPCFlow,TenantId,string,The Log Analytics workspace ID
GCPVPCFlow,TimeGenerated,datetime,The time the log entry was received by logging.
GCPVPCFlow,Timestamp,datetime,Timestamp of the log entry.
GCPVPCFlow,Type,string,The name of the table
GigamonV2_CL,,,No columns found or plain table (no linked schema page)
GitHubAuditLogPolling_CL,,,No columns found or plain table (no linked schema page)
GitHubAuditLogsV2_CL,,,No columns found or plain table (no linked schema page)
githubscanaudit_CL,,,No columns found or plain table (no linked schema page)
GKEAudit,_BilledSize,real,The record size in bytes
GKEAudit,InsertId,string,"A unique identifier for the log entry, used to deduplicate log records."
GKEAudit,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
GKEAudit,JsonPayload,dynamic,"The JSON representation of the log entry payload, often containing key audit data when not using ProtoPayload."
GKEAudit,Labels,dynamic,"Custom key-value pairs that provide additional metadata for the log entry, such as environment or custom tags."
GKEAudit,logName,string,"The full name of the log (e.g., projects/[PROJECT_ID]/logs/cloudaudit.googleapis.com%2Factivity), showing the type and location of the log data."
GKEAudit,LogType,string,"The category or type of log, such as GKEAudit, indicating the origin of the log data."
GKEAudit,Operation,dynamic,"Contains information about an operation associated with the log, such as operation ID and producer."
GKEAudit,ProtoPayload,dynamic,"A structured representation of the audit log entry using the Protobuf format. Contains detailed audit event data such as method name, status, and authentication info."
GKEAudit,ReceiveTimestamp,datetime,The time when the log entry was received by the logging system.
GKEAudit,Severity,string,"The severity level of the log entry (e.g., INFO, WARNING, ERROR). Indicates the importance or impact of the event."
